name_song,lyric,label
cu chill thoi,đời lắm sóng gió sao chút bình minh tạm gánh vai đi phút yên bình khó khăn xoay vần nốt thăng trầm vui lê,vui
Hãy Nhìn Để Thêm Yêu Cuộc Sống,sống bộn bề bao đẹp mảnh đời khó vươn hy sinh thầm lặng quên đi niềm vui bao hạnh phúc sống bộn bề câu đẹp chia sẻ yêu thương yêu thương nắm bàn nâng đi bao đời đa đa đa đa đa đa đa đa đa đà ánh mắt trái tim bao đẹp sống đẹp hôm bao hay đi màu nắng hồng đi tim ta đong yêu thương ánh mắt trái tim yêu sống yêu thương quanh ta đời tươi đẹp đi màu nắng hồng đi tình yêu thức dậy ta,vui
Em Là Của Anh,bóng dáng đam mê yêu thương rót tai ánh mắt say hai ta kề đắm đuối gọi hát tặng trìu mến đôi chân ta nhịp ánh mời gọi xuyến xao đừng cố kiếm đẹp tựa chiêm bao sâu đôi môi trỗi dậy gian kia đứng hai ta nỗi khao gọi thời gian ngừng hôn nồng nàng đắm say trào dâng màn đêm dắt đôi môi khẽ gọi mời tim ghé sâu rối bời yêu sánh đôi vòng ôm mãi chẳng rời thầm tai mặc thời gian khẽ trôi đôi chân ta nhịp ánh mời gọi xuyến xao đừng cố kiếm đẹp tựa chiêm bao sâu đôi môi trỗi dậy gian kia đứng hai ta nỗi khát khao gọi thời gian ngừng hôn nồng nàng đắm say trào dâng màn đêm dắt s t sơn thạch,vui
Đã Không Yêu Thì Thôi (Live in Giao Lộ Thời Gian),lao xao miên kia yêu ta chi bao xót tình xí mây trời hoài cố địu tình yêu ráng rối bao trái ngang tình ngựa ngùng đầu môi mưa sánh mắt môi sâu đơn khôi tim đầu môi chốt lưỡi đầu hôi đành sao gian dối sao tình chân thành sao yêu sao biến tình yêu xưa hợp tan đành quên bao nhiêu yêu dấu thời gian mưa rơi hoa hiếp tình tối lao sao chìm miên kia yêu ta chi bao xót tình manh trời hoài cố níu tình yêu dối bao trái ngang cục tình ngỡ ngùng đầu môi rắn mắt môi sầu thèm đơn khôi tim yêu ta chi bao xót tình xinh mây trời hoài xôi cố níu tình yêu chi dối bao trái ngã tình ngỡ ngùng đầu môi mưa xanh mắt môi sâu côi tim tim,vui
vui lắm nha,hứa cưới nha mách mắng tối thức giấc lóng ngóng chờ mong mai điệu hò dâu mai ta lo trồng rau nấu bát cơm chiều chờ vui mừng đôi ta uống rượu giao bôi đời vui lắm nha cột dây tơ duyên hai đứa thương già mai no ấm hỡi khoan hò khoan nguyện yêu đời vui bao cột dây tơ duyên hai đứa thương trời đem yêu hỡi chàng lỡ mai chờ đón làng đám cưới hội bò dê heo gà dặm trăm mâm bàn mồi đồ nóng thổi xe chở hàng đoàn cực khổ đàng hoàng pháo hoa bấm nút nổ vòng kiềng vàng bạc cổ chúc hàng ngàn cúi đầu lạy quỳ bàn thờ tổ hoàng xe thích đỗ đỗ hỏa thổ ruby bì hổ hứa cưới nha mách mắng tối thức giấc lóng ngóng chờ mong mai điệu hò dâu mai ta lo trồng rau nấu bát cơm chiều chờ vui mừng đôi ta uống rượu giao bôi đời vui lắm nha cột dây tơ duyên hai đứa thương già mai no ấm hỡi khoan hò khoan nguyện yêu đời vui bao cột dây tơ duyên hai đứa thương trời đem yêu hỡi chàng lỡ mai chờ hai đứa phu thê tát cạn khô biển đông dạt thăm ruộng đồng ruộng bao la lúa thơm thương nhiêu hỡi đời vui lắm nha cột dây tơ duyên hai đứa thương già mai no ấm hỡi khoan hò khoan nguyện yêu đời vui bao cột dây tơ duyên hai đứa thương trời đem yêu hỡi chàng lỡ mai chờ,vui
Em Học Bảng Chữ Cái,rất thích hộp âm bừngvàng chữ cai hai mươi tiếng âmem rất thích tập hành âm vầnvì hát vầnnày vần a a a otiếp vần b vần c g đ e e r h i k l m vần n e e g h i k l m r đ n v n h o o b v r s t u u th d nh bi bau v v x i t u u th d nh bi bau v v x i rất thích học âm vân yêu cai hai mươi tín âm hát vừng mày vừng a a a o tiếp vừng b vừng c g đ e e r h i k l m vừng n phi sờ tò ú dậy bao băng xò y tò ú dậy bao,vui
Về Bản Ăn Tết,quê tết xuân gieo lộc biếc hiên ta vui múa hát ca ngân vang tiếng sáo chan hoà nguyên đẹp lắm giây lát gạt tâm tư thoả khao khát ta lướt đèo đôi mắt thêu giấc mơ ta mơ ước lắng lo xô bồ ta đắm say muôn trùng mông lung tết tết tết tết tết bao ta thăm thăm mẹ xuân xuân ta não nề ta ta đi ta thèm trở tết chân đi đường ngắm hoa ngắm phố phường bồi hồi thương mong cố hương ngoái bố cắm hoa đào bày mâm ngũ mẹ gói bánh chưng mấy đứa xếp lạt chuẩn mặt trời ngang lưng đồi po me bé lưng vây quanh nồi bánh chưng than hồng đón tết quây quần hoa đào hoa quất hoa mai cu cháu rộn ràng tai xuân tết bao gánh vai bao trải bé bố chở ta tết chở hoa ta chăm đời mong khoản già chạy đi chỉnh chu xuề xoà gian khó nề hà đi tết tết đồng bào ta phương bôn tư ta dựng xây quê hương ta gieo hoan ca gieo hào sắc hey hey hey tết hey hey hey tết hey hey hey tết tết tết tết xuân gieo lộc biếc hiên ta vui múa hát ca ngân vang tiếng sáo chan hoà nguyên đẹp lắm,vui
The Better Day,viết câu hát lặng tiếng gió ạt trái tim chết lặng dường ngỏ tâm hồn đi lạc hòa câu hát âm nhạc gian buồn thể chẳng tệ chờ đợi mãi chẳng ta mãi câu ôm giấc mộng chiều áp lực đè nén bắt dậy đời đánh cược liều sai bậy bắt đầu kết thúc kéo dậy trắng đắng cay mây nhẹ rơi giọt tán đầu chẳng the better day but it s not today thời gian trôi khứ lớp áo cũ mềm tha chẳng nhân duyên nhiên kịch biên diễn đi tiễn sóng gió yên đốt nguyện chẳng đời ép đầu tiên phép sai tiền ta bốc hỏa thời cạnh tranh vay sâu đại dương bao nhiêu đời thương mặc kệ hôm mắt đổi thời gian đau dĩ vãng điếu trời ban tận hưởng mỹ mãn,vui
Bầu trời mới,thức giấc màn đêm kéo tiếng chuông ngân bờ vai rã rời tim dừng kết thúc câu tiếp bầu trời kiếm tình yêu đánh chạy đi cố quên xảy mắt toàn ký ức bầu trời giới đổi thay muôn vàn sao chiếu lạc lõng đoạn đường đừng giấc mơ cất sâu mai ta vô tình đứng ban mai giấc mơ xưa ngỡ tai âm ngào gió đám mây bầu trời rạng ngời vắng đôi ta đường kia nụ cười yeah yeah yeah nhạt nhoà mơ bầu trời kiếm tình yêu đánh chạy đi cố quên xảy mắt toàn ký ức bầu trời giới đổi thay muôn vàn sao chiếu lạc lõng đoạn đường đừng giấc mơ cất sâu mai ta vô tình đứng níu hoa phai rơi tình buồn quên sương đêm mai phơi sao vang tai âm kêu ngỡ cảm hơi thở vai ngào ngủ ly nâu lồng ngực cháy bỏng hít hơi sâu nhạc ta bùi hát mãi tình mắt trọn đời mơ sông núi mơ bầu trời cạnh trọn đời tiếp bàn chân rệu rời nhịp đập tim sai dừng mong hạnh phúc đi hoà dòng đơn đôi nở nụ cười sâu thẳm đau mắt bầu trời xanh dương mong hay mưa tuôn khung trời liệu thể trở xưa giới chẳng thể đầu mặt trời mãi bâng khuâng đêm yeah nụ hoa nhành cỏ xanh cánh bướm phân vân bầu trời giới đổi thay muôn vàn sao chiếu lạc lõng đoạn đường đừng giấc mơ cất sâu mai ta vô tình cúi chào,vui
Lời Anh Vọng Mãi Ngàn Năm,mãi đất sông núi reo ca hùng thành đồng bất khuất nguyễn văn trỗi nguyễn văn trỗi công nhân thành phố sài gòn súng giặc thù cháy lửa chiến đấu ôi truyền khắp hoàn cầu vọng vê nê du ê la cuồn cuộn sôi muôn tim du kích châu mỹ la tinh sống đời rực ánh mặt trời sống xuân đẹp tươi khói lửa luyện thép gang noi gương triệu miền nam sôi tim gan cuồn cuộn dâng phong đầu quân cướp mỹ xâm lăng gió muôn tiếng ca hát việt nam muôn việt nam muôn hát vọng ngàn đất ngàn chói,vui
Xinh,ngần ngại yêu ngây dại gỡ ánh mắt câu chất chứa bao nhiêu tâm tư sâu kín khẽ chạm tim hát yêu ôm cạnh bàn đan chút yêu rừng hoa xinh tươi yêu mãi gỡ ánh mắt câu chất chứa bao nhiêu tâm tư sâu kín khẽ chạm tim hát vang ta sinh cạnh bàn đan chút yêu rừng hoa xinh tươi yêu mãi,vui
Anh Người Chiến Sỹ An Ninh,đời thầm lặng sục sôi ngàn giông tố sống yên vui bình đêm gian nan đời dòng đời bao đổi thay lửa tim rực cháy đêm tối chiếu chân mỏi dấu vết phá án ngăn bàn kẻ thù hung hãn sống chiến đấu cờ trao sống chiến đấu cờ đảng trao bảo vệ an ninh tổ quốc quyết sinh bảo vệ an ninh tổ quốc quên quyết đất đời đời tươi quên thân hy sinh tô màu cờ việt nam thề tim nguyện mãi khắc ghi bảo vệ non sông tổ quốc bình,vui
khúc nhạc vui rộn ràng,hỡi hát ngàn tia nắng chiếu trời hát khúc hát dạt hoà nhịp khúc ca niềm vui hỡi hát ngàn hoa lá vẫy vẫy chào bầy chim hót ríu rít ngào phơi phới bao niềm vui hỡi hát ngàn tia nắng lấp lành trời hỡi đón bình minh múa hát ca hỡi hát hát khúc hát dịu dàng thơ ấu vườn hoa hát khúc ca rồn ràng,vui
Hiện Đại,quen hôm đi đòi quà quan tâm mẹ hay mua hay thuê quê thành phố hộ khẩu thẻ cất hay túi tiền sâu lạc giới sao thể sống thích xưa thích chiều mưa thích ta cầm sến súa tình yêu bây tình yêu chồi xanh kịp cành mơ tình yêu chín rụng đất ôm xưa dang vòng ôm tình yêu dường đất quen hôm đi đòi quà quan tâm mẹ hay mua hay thuê quê thành phố hộ khẩu thẻ cất hay túi tiền sâu lạc giới sao thể sống thích xưa thích chiều mưa thích ta cầm sến súa tình yêu bây tình yêu chồi xanh kịp cành mơ tình yêu chín rụng đất ôm xưa dang vòng ôm tình yêu dường đất thích xưa thích chiều mưa thích ta cầm sến súa tình yêu bây tình yêu chồi xanh kịp cành mơ tình yêu chín rụng đất ôm xưa dang vòng ôm tình yêu dường đất thích xưa thích chiều mưa thích ta cầm sến súa tình yêu bây tình yêu chồi xanh kịp cành mơ tình yêu chín rụng đất ôm xưa dang vòng ôm đất tình yêu dường đất đất,vui
ngây ngô,yêu dấu thời thơ viết tặng tình yêu đầu tiên mộng mơ dòng mực tím nghiêng nghiêng trang giấy học trò khao khát bóng hình quen sân trường ô cửa sổ nụ cười thân thương dịu dàng ánh mắt lẽ yêu thơ viết thơ thầm kín nỗi niềm gái yêu chờ giây phút trôi thơ viết tình yêu mong manh gió thu tình yêu mơ tình yêu thơ tặng thơ tặng trái tim ngây ngô khao khát bóng hình quen sân trường ô cửa sổ nụ cười thân thương dịu dàng ánh mắt lẽ yêu thơ viết thơ thầm kín nỗi niềm gái yêu chờ giây phút trôi thơ viết tình yêu mong manh gió thu tình yêu mơ tình yêu thơ tặng thơ tặng trái tim ngây ngô thơ viết thơ thầm kín nỗi niềm gái yêu chờ giây phút trôi thơ viết tình yêu mong manh gió thu tình yêu mơ tình yêu thơ tặng thơ tặng trái tim ngây ngô tình yêu mơ tình yêu thơ tặng thơ tặng trái tim ngây ngô,vui
Mùa Xuân Đầu Tiên & Bài Ca Tết Cho Em,bao nhiêu thương gom nhặt trở thăm bao thâu đêm mùa xuân hoa thắm rơi ngập đường trời nắng xế vương vương chiều tàn chim gọi đàn đôi buồn sườn đồi thông xanh sương phủ vai canh tàn trăng mờ ánh long lanh sao rớt vương trời dòng thác trắng bao la chờ chim ca đường tết thèm kẹo mứt môi thơm tựa sen hồng tết thèm đi xi nê hay nhạc hội đà lạt hay vũng tàu đem mộng đời tô chan chứa vui tết thèm đốt pháo tiếng cười rộn rã tết thèm đánh vòng ngọc ngà tết chẳng hoa môi cười chứa vườn xuân đôi buồn sườn đồi thông xanh sương phủ vai canh tàn trăng mờ ánh long lanh sao rớt phương trời dòng cát trắng bao la chờ chim ca đường yêu yêu thề say sưa nhịp hè nâng niu nụ hoa hé đôi môi xinh bé mộng mơ mùa xuân yêu đời mùa xuân sao vơi bao đợi mấy ngờ bến bờ hạnh phúc,vui
vui trong ngày cưới,đám cưới đám cưới đường quê dâu đôi má hồng chồng tung bay xác pháo rơi đồng quê trai gái vui cất tiếng hát chúc mừng đôi tình nhân đầu bạc đầu vôi kia thắm mãi giàn trầu mai đôi lứa nhịp cầu nhịp cầu bến sông nhịp cầu phố đông yêu bao ước mong uyên ương đẹp đôi vợ chồng phố chợ thênh thang đường nắng đổ chang chang gió miên man chân nàng đám cưới đám cưới thành đô hôm chủ rể hiền trao tai nhẫn cưới dây chuyền vàng dâu xinh xắn hàng,vui
Đố Anh Đoán Được,mây sương long lanh đố đoán món quà ngon lành chờ bóc sẵn đợi bơi ướt ấm ôi giồi ôi ểnh ương chỗ đi chầm chậm cẩn thận đấy trơn trượt yêu nuông chiều sợ ta hơi lỡ chán lẽ slowdown cạnh hay trốn biến bắt đi đ đ đ đừng b b b bắt chờ đố đoán sao l l l l l l lắm đố đoán ánh đấy lý rèm rất đoán gợi trần đèn đừng sói mau hề chen rượu ngon ta ngâm đ đ đ đừng b b b bắt chờ đố đoán sao l l l l l l lắm đố đoán chân đi bối rối mau mau a o e i âm thông minh đi lỡ đ đ đ đừng b b b bắt chờ đố đoán sao l l l l l l lắm đố đoán a o e i âm thông minh đi đố đoán,vui
Marry Me,yêu bối rối sợ lắm hôm ôm trời rét đông hay sao thể trút suy chờ bao giấc mơ thiên đường đếm yêu thương hôm cố gắng khát khao tim thầm yêu yêu da diết hơi ấm tim sống đời bao rời phút giây hứa bao buồn bao lo âu cố gắng yêu yêu yêu yêu you wanna marry me you wanna marry me i can t live without you i can t live without you any more,vui
chừng nào cưới,trôi bè vòng quanh đứa đứa cháu đứa thành thành vợ thành chồng tui vơi đi bao tiệc mời ôi sao rối bời ôm đơn lặng lẽ lạnh lùng lắm lung lay dựng xây mái ấm đẹp trai hay lắm lắm tối nằm tui rể dám rủ cầm mời hẹn hò đi phố mấy đòi nghỉ hên hay xui soi tui ngon vướng yêu chi dính buông khó tui tui ham lựa quài mấy lắm quan tâm đừng ta đau bao đời tui thư thái câu chừng mày cưới chừng cưới chừng cưới bao tui ôi thân tui lỗi chi chẳng thấu giúp tui yêu tui chẳng tui ế mặc kệ xu đời cười chê liên quan tui tương lai tui nam nhi quyết tâm thành tài thiệp tui cưới tui cưới đừng bao tui chừng cưới nuôi ta thu nhập lương lãnh tình hay chắt chiu dụm ngoại hình kém bảnh bao thời thích yêu diện mạo chiều mét sáu hậu phương sổ hộ giao tình yêu chân níu áo xác định đẹp lạ tây to đen xì xì tai siêng năng đẩy tạ tướng tá to men lì vướng yêu chi dính buông khó tui tui ham lựa quài lắm hò ép dầu ép mỡ ép dầu ép mỡ nỡ ép duyên giơ nà chọi chổi chọi chổi chọi chổi chội chổi chừng mày cưới cưới cưới chừng cưới cưới cưới chừng cưới cưới cưới chọi chổi chội chổi chẳng tui ế mặc kệ xu đời cười chê liên quan tui tương lai tui nam nhi quyết tâm thành tài thiệp tui cưới tình duyên quan tâm mày lắm quan tâm kiểu,vui
Tết Ổn Rồi,mẹ dọn sân dọn kèm quà tết quê mẹ băn khoăn lo lắng mẹ ổn ổn khó khăn nhường miễn tết bánh quà mẹ cười hay ước khát khao mẹ tết chẳng xôi đứa khỏe ổn tết thành phố tết miền quê tết ta kề kề ta vui cười khỏe tết ổn sao tết vui sao sum vầy gia đình sức khỏe ta tết ổn vội vàng dọn dẹp khắp sân lau dọn bếp pha trà thu xếp nghỉ chân yêu trở khỏe vui cười tết hay khỏe tết thành phố tết miền quê tết ta kề kề ta vui cười khỏe tết ổn sao tết vui sao sum vầy gia đình sức khỏe ta tết ổn mẹ rất cố gắng êm xuôi quyết tâm dốc sức công ổn sao khỏe trở tất ổn trọn vẹn lẽ hay yên tâm hứa khỏe trở tết tết đi vẻ vang khó li bì ta quý giá khỏe tết ổn sao tết vui sao sum vầy gia đình sức khỏe ta tết ổn,vui
Tình Ca Mùa Xuân,mùa xuân cành lá tiếng chim kêu trời xanh xanh thẳm mùi hương rất quen làn hơi ấm sâu thẳm đất sinh sôi ánh mắt cười màu xanh khoai sắn bàn xinh xắn hình dòng kênh xanh mùa xuân mưa đầu mát lạ mùa xuân nắng bay yêu bắt đầu độ đi xưởng máy trời hơi sương đi vui hội mùa xuân biên giới súng gác trời mùa xuân chiến thắng xóm vui mùa nắng gọi đồng chín vàng đi quên sao nỗi thương cánh trở trọn đời chiến tuyến giết thù bàn hậu phương lắc vững vàng bàn mùa xuân đi mưa hè hối hả tình ta sâu hôm,vui
Mơ,rời vòng chạy mơ chạy hạnh phúc nâng niu thơ ngây lặng lẽ chôn giấu bao buồn vui gói ngăn đựng niềm đau chẳng màng lạc lối bao làn gió hát vu vơ nắm đôi mơ màng hình dung chốn hé đôi môi mỉm cười hình dung ôm âm thầm đổi thay chất chứa trăng vương thềm gợi hương tóc mềm gian rộng đêm ru giấc mơ mai thay yêu đời vệt nắng vời vợi thời gian nhẹ khâu vết thương cất giấu xoáy trái tim quấn nhức nhối trái tim đánh thân vô tư quanh sóng gió ưu tư ta an nhiên câu thâu đêm âm thầm đổi thay chất chứa trăng vương thềm gợi hương tóc mềm gian rộng đêm ru giấc mơ mai thay yêu đời vệt nắng vời vợi thời gian nhẹ khâu vết thương âm thầm đổi thay chất chứa trăng vương thềm gợi hương tóc mềm gian rộng đêm ru giấc mơ mai thay yêu đời vệt nắng vời vợi thời gian nhẹ khâu vết thương đời vệt nắng vời vợi thời gian nhẹ khâu vết thương,vui
Hoàng Sa Trường Sa Ơi,thầm sâu sông hoàng trường gọi trái tim nhức nhối dòng máu hồng sục sôi sục sôi biển đông nổi song kẻ thù vấn giác cơm xăm lan biển muôn đêm bão thu chẳng đừng hoàng sa trường quần đào tađã bao đời ống ta dình dư hoàng sa trường sơi mãi hiện ngang phong bão tố thiên yêng việt nam ta việt nam việt nam đất bờ sông đất hình cánh dân việt chinh việt nam việt nam hoàng hùng ca ta hát rồng máu hồng rụp rơi rụp rơi biển đông nổi song kẻ thù vấn giáp tơm sâm biển buôn đêm bão tu chạc đừng đừnghoàng sa trường sa nhữngquần đau ngọc ta bao đời ta dình dươnghoàng sa trường sa mãi yên ngang phòng máu tố thiêng liêng biệt đau ta việt nam việt nam đất bờ sông đất hình cành cung dân việt chinh bàn bùng ca ta hát việt nam kêu hát yêu hòa mê,vui
Nắng Hát,nắng nắng bình nắng nà na na ná nắng bình nắng nà na na ná nắng bình nà na na ná nắng âu lo kia trời xanh nắng mong chờ kìa nắng ô kìa nắng hát thềm mưa rơi đời ta bừng nắng ngàn tia hy vọng hát ô kìa nắng hát môi hát hát tia nắng hát lấp lánh màu mắt long lanh xôi ôi phút giây tuyệt vời tia nắng hát môi nụ cười ấm áp hồn xôn xao mơ hôn ngào suy tư kia biển xanh sóng vỗ tình yêu dâng trào kìa nắng ô kìa nắng hát êm đềm vơi đời ta bao khao khát mong chờ hát ô kìa nắng hát môi hát hát tia nắng hát lấp lánh màu mắt long lanh xôi ôi phút giây tuyệt vời tia nắng hát môi nụ cười ấm áp hồn xôn xao mơ hôn ngào nà na na ná nắng nà na na ná nắng bình nà na na ná nắng nắng nắng bình nắng tia nắng hát lấp lánh màu mắt long lanh xôi ôi phút giây tuyệt vời tia nắng hát môi nụ cười ấm áp hồn xôn xao mơ hôn ngào tia nắng hát lấp lánh màu mắt long lanh xôi ôi phút giây tuyệt vời tia nắng hát môi nụ cười ấm áp hồn xôn xao mơ hôn ngào tia nắng hát lấp lánh màu mắt long lanh xôi ôi phút giây tuyệt vời tia nắng hát môi nụ cười ấm áp hồn xôn xao mơ hôn ngào mưa rơi,vui
